"","Sturgeon_ID","Date_Time_Rounded","Hub_ID","Arrival_Time","Distinct_Hubs","Tie_Breaker"
"1","9001-16704","2025-09-14 00:00:00","aquaHub-660141",2025-09-14 06:02:37,1,NA
"2","9001-16704","2025-09-15 00:00:00","aquaHub-660141",NA,NA,NA
"3","9001-16704","2025-09-16 00:00:00","aquaHub-660298",2025-09-16 11:27:52,1,NA
"4","9001-16704","2025-09-17 00:00:00","aquaHub-660298",2025-09-17 05:03:48,1,NA
"5","9001-16704","2025-09-18 00:00:00","aquaHub-660298",2025-09-18 00:07:49,1,NA
"6","9001-16704","2025-09-19 00:00:00","aquaHub-660143",2025-09-19 09:51:24,1,NA
"7","9001-16704","2025-09-20 00:00:00","aquaHub-661033",2025-09-20 13:56:52,1,NA
"8","9001-16704","2025-09-21 00:00:00","aquaHub-661033",NA,NA,NA
"9","9001-16713","2025-09-14 00:00:00","aquaHub-660273",2025-09-14 05:12:17,4,1
"10","9001-16713","2025-09-14 00:00:00","aquaHub-660110",2025-09-14 06:35:14,4,2
"11","9001-16713","2025-09-14 00:00:00","aquaHub-660298",2025-09-14 14:27:37,4,3
"12","9001-16713","2025-09-14 00:00:00","aquaHub-660143",2025-09-14 23:54:21,4,4
